name,latitude,longitude
HUMBERT (JAMES),41.8383455,-87.6429935
PARK NO. 474,41.8355115,-87.6276025
GRANT (ULYSSES),41.876594,-87.618246
WASHINGTON SQUARE,41.899272,-87.6305835
PRAIRIE WOLF,41.780014,-87.6031915
HONEYSUCKLE,41.810143,-87.609906
"HOUSTON (JESSIE ""MA"")",41.803561,-87.6053215
NORTHERLY ISLAND,41.860222,-87.6091465
DEBOW (RUSSELL),41.7497865,-87.596457
ESSEX,41.755103,-87.589987
WOODHULL (ROSS),41.7619265,-87.5843065
BIXLER (RAY),41.7918475,-87.5928455
BROOKS (GWENDOLYN),41.8120595,-87.600191
KENNICOTT (JONATHAN),41.813965,-87.5975525
PARK NO. 563,41.6554545,-87.565704
TRUMBULL (LYMAN),41.7063395,-87.5644805
HASAN (ELLIOT),41.7700645,-87.5678045
WESOLEK (MARLENE),41.651587,-87.5371115
MYRTLE GROVE,41.992772,-87.804873
EDISON (THOMAS ALVA),42.0040365,-87.817567
INDIAN ROAD,41.993387,-87.778467
AUSTIN (HENRY),41.8877015,-87.771293
DAVIS (MARGARET),41.9019165,-87.762181
AIELLO (JOHN),41.9190595,-87.7764225
PORTAGE,41.955063,-87.764592
JEFFERSON (THOMAS) MEML.,41.9686395,-87.763653
SCOTTSDALE,41.7416195,-87.735674
HUBBARD (GURDON),41.888902,-87.750045
BLACKHAWK,41.923039,-87.752422
DICKINSON (ARTHUR),41.9557285,-87.751829
GOMPERS (SAMUEL),41.975465,-87.7332065
RAINEY (EDWARD),41.75037,-87.7286325
"BOLER (LEO ROSCOE, SR.)",41.869916,-87.717301
MILLARD (ALDEN),41.8635525,-87.7162045
MASON (ELIZABETH),41.8840285,-87.728563
LINDEN,41.9019575,-87.72593
SIMONS (ALMIRA),41.9114255,-87.7153865
HORAN (ALBERT),41.875433,-87.70326
ALGONQUIN,41.935199,-87.694914
CHIPPEWA,42.0039835,-87.705203
BARAGA (FREDERICK),41.8472415,-87.681082
PARK NO. 489,41.878943,-87.6871995
PARK NO. 399,41.9072905,-87.688729
PARK NO. 529,41.912417,-87.681885
SCHAEFER (EDWARD),41.925753,-87.669103
WOOD (ELIZABETH),41.934698,-87.683529
WANG (CHI CHE),41.933114,-87.6729005
PASCHEN (CHRISTIAN),42.0092305,-87.6796665
WAGNER (CLARENCE),41.8017965,-87.649
MULBERRY,41.8362195,-87.666672
DVORAK (ANTON),41.853893,-87.6539325
GARIBALDI (GIUSEPPI),41.872343,-87.6652675
ARRIGO (VICTOR),41.8716555,-87.659882
FOSCO (PETER),41.8647655,-87.657752
PRIVET,41.9150485,-87.6535045
KENMORE,41.939327,-87.6549515
MARTIN (JOHNNY),41.9392065,-87.6526725
PARK NO. 521,41.957331,-87.666209
SHEIL (BERNARD) COMM. CTR.,41.945668,-87.663611
KELLY (JOHN),41.9527565,-87.6569725
BUTTERCUP,41.9719785,-87.6543935
BROADWAY ARMORY,41.9893285,-87.659672
PARK NO. 559,41.9937965,-87.6547415
NORTH SHORE BEACH,42.0039855,-87.657299
ROGERS (PHILLIP) BEACH,42.021261,-87.664581
EUCLID,41.7165405,-87.6376365
MCINERNEY (THOMAS),41.81303,-87.645021
SUN YAT-SEN,41.848055,-87.6341575
TOM (PING) MEML.,41.8572975,-87.6344545
COTTON TAIL,41.862473,-87.6288775
MID-NORTH,41.9235975,-87.6390575
KENSINGTON,41.6794445,-87.615108
ABBOTT (ROBERT),41.719018,-87.622123
PARK NO. 419,41.749045,-87.622535
GRAND CROSSING,41.754977,-87.6004275
HARRIS (HARRIET),41.781565,-87.6048595
MIDWAY PLAISANCE,41.786885,-87.596332
BURNHAM (DANIEL),41.829731,-87.596979
HARDING (GEORGE),41.805248,-87.618355
BUCKTHORN,41.8151965,-87.6179605
SUMAC,41.8183375,-87.610084
RIVER ESPLANADE,41.8889355,-87.6166505
HODES (BARNET),41.7621215,-87.585451
MOCCASIN RANCH,41.7773415,-87.5950275
NICHOLS (JOHN FOUNTAIN),41.7972925,-87.593774
"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",41.8203955,-87.59956
HARSH (VIVIAN G.),41.8138995,-87.59551
VALLEY FORGE,41.7842725,-87.7977285
ROBERTS (DANIEL) SQUARE,41.972016,-87.758903
LE CLAIRE COURTS - HEARST COMM. CTR,41.813483,-87.7507665
CLARK (JOHN),41.8764245,-87.741126
PARSONS (LUCY),41.939135,-87.7445965
NORTH MAYFAIR,41.973282,-87.74216
SAUGANASH TRAIL,41.9900325,-87.7378725
WEST LAWN,41.7731265,-87.7287205
VIOLET,41.8693135,-87.728912
PARK NO. 515,41.8694005,-87.7137305
SAINT LOUIS,41.8877375,-87.7133645
GREENBAUM (HENRY),41.912497,-87.733386
KEDVALE,41.906684,-87.730089
MOZART (AMADEUS),41.918119,-87.723825
FIELD (EUGENE),41.974875,-87.7239455
HOLLYWOOD,41.9893975,-87.711634
HAYES (FRANCIS),41.7405945,-87.6968645
BRIGHTON,41.8294935,-87.6981245
HOMAN (JOSEPH),41.8522635,-87.710445
DOGWOOD,41.871313,-87.694935
ALTGELD (JOHN),41.874376,-87.6925765
JEFFERSON (NANCY),41.886117,-87.704297
HAAS (JOSEPH),41.9251525,-87.695981
GRAPE,41.933529,-87.6992395
SACRAMENTO,41.945795,-87.703261
INDIAN BOUNDARY,42.009493,-87.6932955
MONTGOMERY (MABEL),41.7734635,-87.689233
OAKLEY,41.776325,-87.6806465
MCKINLEY (WILLIAM),41.8248915,-87.6797145
"TOUHY-HERBERT (JOHN, VICTOR)",41.8793345,-87.679396
WESTERN,41.8980205,-87.686558
FELLGER (CHARLES),41.939825,-87.678946
HAMLIN (HANNIBAL),41.9368245,-87.679492
WELLES (GIDEON),41.9622635,-87.6862905
EMMERSON (LOUIS),41.9945905,-87.676971
WASHINGTON (HAROLD) MEM.,42.021494,-87.673404
DUBKIN (LEONARD),42.0173435,-87.6707115
GRAVER (PHILIP),41.707768,-87.660408
COSME (MARGARET),41.727282,-87.6680455
PACKINGTOWN,41.80512,-87.6627685
"KUCINSKI-MURPHY (VICKI, ROSEBETH)",41.8329835,-87.666639
MCGUANE (JOHN),41.8406335,-87.647998
ADDAMS (JANE),41.863782,-87.6630005
SKINNER (MARK),41.8796315,-87.660744
LINCOLN (ABRAHAM),41.940996,-87.633184
CLOVER,41.922125,-87.6635665
PARK NO. 535,41.9160275,-87.648764
WEISMAN (ALBERT),41.935141,-87.6518295
GOOSEBERRY,41.9667245,-87.662986
CLARENDON COMM. CTR.,41.963329,-87.648453
FERNWOOD,41.70399,-87.6391
WALLACE,41.7265,-87.6388465
ROBICHAUX (JOSEPH),41.726586,-87.634357
PERIWINKLE,41.774887,-87.6279505
EDMONDS (MOLLY),41.783838,-87.643164
JEFFERSON (THOMAS),41.8591135,-87.642123
PARK NO. 551,41.888727,-87.643618
CONNORS (WILLIAM),41.898736,-87.626677
JACKSON (ANDREW),41.7833895,-87.576424
KENWOOD COMM.,41.805136,-87.5928845
PINE,41.722321,-87.565577
ASHE (ARTHUR) BEACH,41.7623855,-87.5577535
SHABBONA,41.942653,-87.800167
HERMOSA,41.9220525,-87.7401735
BOGAN (WILLIAM),41.746788,-87.7205695
CURIE (MARIE),41.8031195,-87.7194425
PARK NO. 534,41.863791,-87.7130005
CENTRAL,41.894391,-87.715911
UNITY,41.9299635,-87.7125875
INDEPENDENCE,41.952758,-87.7238935
PETERSON (PEHR SAMUEL),41.988348,-87.7204365
PARK NO. 526,41.9938945,-87.7101035
DOOLEY (THOMAS),41.7538125,-87.707894
PARK NO. 553,41.840012,-87.7015705
LIMAS (JULIANN HOPE),41.8475325,-87.711569
MAGNOLIA,41.8730035,-87.7070475
SMITH (JOSEPH HIGGINS),41.8926525,-87.690451
MAPLEWOOD,41.9114395,-87.6912635
FLOWER (LUCY),41.9150745,-87.69193
LEGION,41.983065,-87.706913
MATHER (STEPHEN TYNG),41.989384,-87.701188
PARK NO. 568,41.9876315,-87.6883835
LERNER (LEO),42.007469,-87.705738
ROGERS (PHILLIP),42.0141005,-87.6949055
GAGE (GEORGE),41.7937205,-87.6849825
DAVIS (DR. NATHAN) SQUARE,41.813128,-87.6675225
HARRISON (CARTER),41.856776,-87.673518
PARK NO. 510,41.8718605,-87.6811455
PARK NO. 556,41.9276715,-87.6884355
HOLSTEIN,41.921645,-87.685087
VOGLE (HENRY JR.),41.9689855,-87.681854
"MELLIN (CURTIS, SR.)",41.9832165,-87.669456
LANGDON (MARY MARGARET),42.0019135,-87.6748055
RIDGE,41.7166225,-87.668217
THE GROVE,41.7406895,-87.648289
RENAISSANCE,41.7507285,-87.656172
OGDEN (WILLIAM),41.775033,-87.6568205
LUNA,41.7926135,-87.6466485
WILSON (JOHN),41.8319605,-87.6546455
PALMISANO (HENRY),41.842942,-87.6490515
SHERIDAN (PHILIP HENRY),41.870825,-87.6548175
ECKHART (BERNARD),41.8970935,-87.6611865
EVERGREEN,41.9397675,-87.645686
HICKORY,41.970174,-87.658015
BROMANN (CHARLES),41.9801605,-87.6603865
BERGER (ALBERT),41.995316,-87.654806
LANE (GEORGE) BEACH,41.9896055,-87.6543715
LOYOLA,42.0095425,-87.6593145
JUNEWAY TERR. BEACH,42.022481,-87.665271
JARVIS (R.J.) BEACH,42.0159135,-87.662619
HAMILTON (ALEXANDER),41.761668,-87.637015
SEWARD (WILLIAM),41.9024375,-87.6388175
PALMER (POTTER),41.690865,-87.615786
ARCADE,41.6914085,-87.6087885
TULEY (MURRAY),41.730143,-87.6119295
DIXON (LORRAINE),41.7321285,-87.601946
RAILROAD JUNCTION,41.7611415,-87.604534
JACKSON (ROBERT),41.815899,-87.620919
MANDRAKE (HENRY BROWN),41.823546,-87.606813
LAKE MEADOWS,41.837498,-87.6119085
BURNSIDE (AMBROSE),41.724431,-87.5983535
AVALON,41.7422525,-87.595309
PARK NO. 326,41.7777355,-87.59346
STOUT (FLORENCE),41.7966745,-87.600286
PARK NO. 564,41.69019,-87.5703585
LUELLA,41.71274,-87.567596
ROWAN (WILLIAM),41.6858095,-87.5382535
WOLFE (RICHARD),41.69823,-87.543173
PARK NO. 503,41.73188,-87.5415965
WENTWORTH (JOHN),41.7884805,-87.780408
AMUNDSEN (ROALD),41.9138165,-87.7791045
AUSTIN FOSTER,41.976576,-87.7788795
PLEASANT POINT,41.998177,-87.7977825
WILDWOOD,42.0077215,-87.780227
HAZELNUT,41.892573,-87.774093
AUSTIN TOWN HALL,41.888507,-87.765786
WILSON (FRANK),41.964411,-87.7595805
EDGEBROOK,42.000271,-87.7612505
LAWLER (MICHAEL),41.7767175,-87.7510515
TILTON (GEORGE),41.8855665,-87.7351415
DEGEORGE (BERNICE),41.9111435,-87.7494965
KOLMAR,41.9566475,-87.7415195
FOREST GLEN,41.9775075,-87.754612
ASHMORE,41.9686715,-87.7481905
MOUNT GREENWOOD,41.6876995,-87.715249
"SENKA (EDWARD ""DUKE"")",41.7915485,-87.7122015
WALNUT,41.8114205,-87.719032
PARK NO. 519,41.853933,-87.7127475
PARK NO. 500,41.8712055,-87.72297
MONTICELLO,41.914204,-87.718254
KEN-WELL,41.9348305,-87.7332985
NORTH PARK NATURE CENTER,41.986549,-87.723601
MIAMI,41.840908,-87.7113535
CHRISTIANA,41.8598205,-87.708784
GLADYS (GUNDERSON),41.8760115,-87.7087685
BARBERRY,41.8698775,-87.69707
MAPLE,41.918768,-87.7099165
ELSTON (DANIEL),41.944425,-87.706197
NELSON (ANDREW),41.9371135,-87.702059
CALIFORNIA,41.951752,-87.6967715
RAVENSWOOD MANOR,41.9655895,-87.700588
GROSS,41.9691105,-87.69666
BEVERLY,41.708211,-87.684419
CRESCENT,41.697277,-87.6776205
DAWES (CHARLES),41.7463735,-87.6754275
LINDBLOM (ROBERT),41.7843435,-87.675009
"WICKER (CHARLES, JOEL)",41.9080045,-87.6761105
WRIGHTWOOD,41.9282145,-87.6670135
SENN (NICHOLAS),41.989523,-87.6686485
SCHREIBER,41.999079,-87.6694525
COOPER (JACK),41.680357,-87.655388
MORGAN (THOMAS LEEDS) FIELD,41.68192,-87.647522
LAMB (HAROLD),41.696359,-87.657464
MORAN (TERRANCE),41.7896235,-87.6544125
